Orden de gobierno,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Responsable de la UC,Código del expediente,Referencia del expediente,Clave CUCOP,Título del expediente,Plantilla del expediente,Fundamento legal,Número de procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo Procedimiento,Forma de participación,Código del contrato,Núm. de control del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe DRC,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Clave del programa federal,Fecha de firma del contrato,Contrato marco,Compra consolidada,Contrato plurianual,Clave de cartera SHCP,Folio en el RUPC,rfc,Proveedor o contratista,Estratificación,Clave del país de la empresa,RFC verificado en el SAT,Crédito externo,Organismo financiero,Dirección del anuncio
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908837,012M7B997E11222006,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"4,211,814",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"709,489",MS&040819FJA,MERCK SHARP & DOHME COMERCIALIZADORA S DE RL DE CV,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908841,012M7B997E11222007,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"338,417,229",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"3,625",NFA971101EDA,NOVARTIS FARMACEUTICA,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR015,IMSS-DEPARTAMENTO DE ADQUISICION DE BIENES Y CONTRATACION DE SERVICIOS #050GYR015,Pedro Sánchez Ascencio,2527917,,2610,"LA-050GYR015-E342-2022, SERVICIO DE SUMINISTRO DE COMBUSTIBLES PARA EL PARQUE VEHICULAR DEL VELATORIO IMSS NO. 22",01. Licitación Pública LAASSP,,LA-050GYR015-E342-2022,2022-11-15 00:00:00 GMT,2022-11-01 15:15,2022-11-11 10:00,,Servicios,,Electrónica,2909975,01/Villahermosa/23-25,SERVICIO DE SUMINISTRO DE COMBUSTIBLES PARA EL PARQUE VEHICULAR DEL VELATORIO IMSS NO. 22,"SERVICIO DE SUMINISTRO DE COMBUSTIBLES PARA EL PARQUE VEHICULAR DEL VELATORIO IMSS NO. 22
Proveedor o Contratista: CONSORCIO LEMON",2023-01-01,2025-12-31,"853,448",MXN,Activo,0,,2023-01-01 00:00:00 GMT,No se utilizó el Contrato Marco,0,1,,"14,716",CLE070412R8A,CONSORCIO LEMON,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2527917
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR069,"IMSS-Departamento de Adquisiciones, Bienes y Equipamiento #050GYR069",Alberto Romero Rojas,2530649,	AA-050GYR069-E259-2022,3910,Servicio de Traslado de Cadaveres para el Ejercicio 2023,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR069-E259-2022,,2022-10-26 14:41,2022-11-11 11:00,,Servicios,,Electrónica,2910758,P2M0060,Servicio de Traslado de Cadaveres para el Ejercicio 2023,"Servicio de Traslado de Cadaveres para el Ejercicio 2023
Vigencia: A partir del 01 de Enero y hasta el 30 de Junio del 2023.
P2M0060",2023-01-01,2023-06-30,"36,063",MXN,Expirado,0,,,No se utilizó el Contrato Marco,0,0,,,,JOSE CARAVEO MISS,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2530649
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR024,"IMSS-OOAD, Estado de México Poniente, Coordinación de Abastecimiento y Equipamiento #050GYR024",Vanessa Gabriela Ortega Pineda,2536747,AA-050GYR024-E610-2022,3430,Contratación Servicio Traslado de Valores Velatorio - 2023 - 2025,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR024-E610-2022,,2022-11-09 11:56,2022-11-15 11:00,,Servicios,,Electrónica,2912649,CONTRATO FIBESO,Contratación Servicio Traslado de Valores Velatorio - 2023 - 2025,Contratación Servicio Traslado de Valores Velatorio - 2023 - 2025,2023-01-01,2025-12-31,"192,910",MXN,Activo,0,,,No se utilizó el Contrato Marco,0,1,,"5,487",SPA810429PU2,"Servicio Pan Americano de Protección, S.A. de C.V.",,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2536747
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR069,"IMSS-Departamento de Adquisiciones, Bienes y Equipamiento #050GYR069",Alberto Romero Rojas,2529472,AA-050GYR069-E255-2022,"2510, 2530",Servicio de Dotación de Medicina Magistral para el Ejercicio 2023,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR069-E255-2022,,2022-10-25 12:17,2022-11-15 11:00,,Servicios,,Electrónica,2913317,SEIA230403050185,Servicio de Dotación de Medicina Magistral para el Ejercicio 2023,"Servicio de Dotación de Medicina Magistral para el Ejercicio 2023
Vigencia: A partir del 01 de Enero y hasta el 31 de Diciembre del 2023",2023-01-01,2023-12-31,"116,744",MXN,Activo,0,,,No se utilizó el Contrato Marco,0,0,,"101,302",DBO110816JZ1,DERMA BODY SA DE CV,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2529472
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR033,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR033,Sergio Rafael Abrego García,2527946,LICITACION PUBLICA NACIONAL,2210,LA-050GYR033-E568-2022 SUMINISTRO DE FORMULAS DE MEDICINA MAGISTRAL 2023,01. Licitación Pública LAASSP,,LA-050GYR033-E568-2022,2022-11-16 00:00:00 GMT,2022-10-27 09:09,2022-11-14 10:10,,Servicios,,Electrónica,2913362,ABTN231703050001,ABTN231703050001,"SERVICIO PARA LA ADQUISICIÓN Y SUMINISTRO DE FORMULAS DE MEDICINA MAGISTRAL MEDIANTE CONTRATO ABIERTO, A FIN DE CUBRIR LAS NECESIDADES DEL ÓRGANO DE OPERACIÓN ADMINISTRATIVA DESCONCENTRADA REGIONAL MICHOACAN, A EJERCER EN EL AÑO 2023",2023-01-01,2023-12-31,"1,560,000",MXN,Activo,1,,2022-11-18 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,"43,525",FED040803M40,FARMACIAS DE ESPECIALIDADES DERMATOLOGICAS DE MEXICO SA DE CV,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2527946
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR024,"IMSS-OOAD, Estado de México Poniente, Coordinación de Abastecimiento y Equipamiento #050GYR024",Vanessa Gabriela Ortega Pineda,2521809,LA-050GYR024-E545-2022,2550,LICIT. PUB. NAL. Contrat. Serv. Sub.Aux. de Diag. Laborat. UMF 227 233 239 -2023,01. Licitación Pública LAASSP,,LA-050GYR024-E545-2022,2022-11-23 00:00:00 GMT,2022-11-03 10:45,2022-11-18 08:30,,Servicios,,Electrónica,2914293,S2M0178,LICIT. PUB. NAL. Contrat. Serv. Sub.Aux. de Diag. Laborat. UMF 227 233 239 -2023,LICIT. PUB. NAL. Contrat. Serv. Sub.Aux. de Diag. Laborat. UMF 227 233 239 -2023,2023-01-01,2023-12-31,"1,810,345",MXN,Activo,0,,,No se utilizó el Contrato Marco,0,0,,,,ILIANA PATRICIA VILLANUEVA MILLAN,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2521809
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR079,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",Ma. Guadalupe Soto Castañeda,2536275,AA-050GYR079-E216-2022,3390,CONTRATACIÓN DEL SERVICIO DE DOSIMETRIA PARA EL EJERCICIO 2023,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR079-E216-2022,,2022-11-08 16:18,2022-11-11 11:00,,Servicios,,Electrónica,2915620,S2M0024,S2M0024 Expediente: 2536275 - CONTRATACIÓN DEL SERVICIO DE DOSIMETRIA PARA EL EJERCICIO 2023,CONTRATACIÓN DEL SERVICIO DE DOSIMETRIA,2023-01-01,2023-12-31,"2,496",MXN,Activo,0,,2022-12-06 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,"624,533",RAD130315A97,RADMEDICAL S DE RL DE CV,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2536275
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR079,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",Ma. Guadalupe Soto Castañeda,2536393,AA-050GYR079-E217-2022,3390,CONTRATACION DEL SERVICIO DE CARIOTIPOS EN LIQUIDO AMNIÓTICO,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR079-E217-2022,,2022-11-08 16:31,2022-11-11 12:00,,Servicios,,Electrónica,2916006,S2M0025,S2M0025 Expediente: 2536393 - CONTRATACION DEL SERVICIO DE CARIOTIPOS EN LIQUIDO AMNIÓTICO,S2M0025 Expediente: 2536393 - CONTRATACION DEL SERVICIO DE CARIOTIPOS EN LIQUIDO AMNIÓTICO,2023-01-01,2023-12-31,"132,800",MXN,Activo,0,,2022-12-06 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,,,VIOLETA ALEJANDRINA DOMINGUEZ MANZANO,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2536393
